support,itemsets
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Date', 'Country', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Date', 'Country', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Country', 'Order ID', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Country', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Country', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Country', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Country', 'Order ID', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Country', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Country', 'Order ID', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Country', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Country', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Country', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Country', 'Order ID', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Country', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Country', 'Order ID', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Country', 'Order ID', 'Total Profit'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Date', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Country', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Country', 'Order ID', 'Total Profit', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Priority', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Priority', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Priority', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Priority', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Priority', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Total Cost', 'Order Date', 'Order ID', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Units Sold', 'Total Cost', 'Order Date', 'Item Type', 'Total Profit', 'Sales Channel', 'Unit Price'})"
1.0,"frozenset({'Total Revenue', 'Unit Cost', 'Ship Date', 'Units Sold', 'Total Cost', 'Order ID', 'Item Type', 'Sales Channel', 'Unit Price'})"
